"21528","Se mantuvo siempre erguido.<br> ¿Cuál de las siguientes palabras es un antónimo de erguido?","2","a) Derecho","b) Torcido","c) Justo","d) Ninguna es correcta.",NULL,"Interpretativa","Literal -  Conocimiento-recuerdo","1.Identificación de antónimos",NULL,"100001","5",NULL
"21529","En el trabajo se debe <strong>incrementar</strong> la eficiencia.<br> ¿Cuál de las siguientes palabras es un sinónimo de <strong>incrementar</strong>?	","3","a) Disminuir","b) Degradar","c) Aumentar","d) Ninguna es correcta.",NULL,"Interpretativa ","Literal  - Conocimiento-recuerdo","2. Identificación de sinónimos",NULL,"100001","5",NULL
"21530","Verdes parajes<br>

El día siguiente de su llegada a la añorada ciudad, Clara decidió visitar los lugares más
queridos de su infancia. Con la imaginación se trasladaba a ellos y era presa de
vehementes deseos por volverlos a recorrer. Una enorme tristeza le invadió cuando
descubrió que su querido campo estaba cubierto de enormes edificios. Aquellos verdes
parajes que en su infancia recorrió con inmensa alegría, ahora eran solo un montón de concreto.<br>
Clara sintió una enorme tristeza a consecuencia de...","3","a) ver los lugares de su infancia.","b) visitar los lugares más queridos.","c) ver el campo cubierto de edificios.","d) Ninguna es correcta.",NULL,"Argumentativa","Inferencial - Análisis","3. Identificación de causa-efecto",NULL,"100001","5",NULL
"21531","Tipos de plantas de piña<br>

Existe alrededor de 23 variedades de piña de las cuales aquí se menciona tres de
ellas.
Montúfar Cayena lisa Perolera
Son plantas de tamaño
mediano, hojas cortas a
medianas. El fruto tiene
forma cónica, es de color
verde amarillento por
fuera y amarillo por
dentro.<br>

Las plantas son
medianas, de hojas
largas y anchas. Su fruto
es de forma cilíndrica,
anaranjado rojito por
fuera y amarillo pálido en
el interior.<br>

Son plantas grandes,
de hojas con manchas
rojizas y bordes lisos.
El fruto tiene forma de
bloque, de color
amarillo tanto interna
como externamente.<br>

Según el texto, ¿qué planta de piña tiene sus hojas con machas rojizas y bordes
lisos?","1","a) Perolera","b) Cayena lisa","c) Montúfar","d) Ninguna es correcta.",NULL,"Interpretativa","Literal- Conocimiento-recuerdo","4. Identificación de detalles",NULL,"100001","5",NULL
"21532","Tipos de plantas de piña<br>

Existe alrededor de 23 variedades de piña de las cuales aquí se menciona tres de
ellas.
Montúfar Cayena lisa Perolera
Son plantas de tamaño
mediano, hojas cortas a
medianas. El fruto tiene
forma cónica, es de color
verde amarillento por
fuera y amarillo por
dentro.<br>

Las plantas son
medianas, de hojas
largas y anchas. Su fruto
es de forma cilíndrica,
anaranjado rojito por
fuera y amarillo pálido en
el interior.<br>

Son plantas grandes,
de hojas con manchas
rojizas y bordes lisos.
El fruto tiene forma de
bloque, de color
amarillo tanto interna
como externamente.<br>

Según el texto, ¿qué similitud hay entre los tipos de piña?","1","a) Son plantas","b) El tamaño","c) La forma del fruto","d) Ninguna es correcta.",NULL,"Argumentativa","Inferencial -Análisis","5. Identificación de similitudes ",NULL,"100001","5",NULL
"21533","Receta para preparar caldo de gallina<br>
Ingredientes: una gallina, 1 libra de papas, 2 güisquiles tiernos pequeños, 3 tomates
grandes, 1 cebolla mediana, 6 dientes de ajos grandes, 1 manojo de tallos de cebolla,
12 ramitas de hierbabuena y sal.
Preparación: hervir en 3 litros de agua, el manojo de tallos de cebolla atados, la
cebolla entera, los ajos pelados y los tomates partidos por la mitad. Cuando todo
hierva, poner la gallina entera y limpia a cocinar con suficiente sal durante tres horas y
media. Revisar de vez en cuando la carne de la gallina para verificar que ya esté
cocida. Media hora antes de terminar la cocción, agregar las papas y los güisquiles en
trozos grandes. Finalmente, agregar la hierbabuena. Partir la gallina en piezas grandes
y freír en aceite o asarla, para luego colocar una pieza en cada plato. El caldo se
acompaña con aguacate, chile picante y arroz.<br>
Según el texto, ¿cuál es el orden para preparar caldo de gallina?","3","a) Hervir el agua con los tallos de cebolla, la cebolla, los ajos y los tomates,
poner la gallina a cocinar durante tres horas y media. Revisar la cocción,
agregar la hierbabuena, freír en aceite o asarla. Media hora antes, agregar las
papas y los güisquiles.","b) Hervir el agua con los tallos de cebolla, la cebolla, los ajos y los tomates,
poner la gallina a cocinar durante tres horas y media. Media hora antes,
agregar las papas y los güisquiles, agregar la hierbabuena, freír en aceite o
asarla. Revisar la cocción de la gallina.","c) Hervir el agua con los tallos de cebolla, la cebolla, los ajos y los tomates,
poner la gallina a cocinar durante tres horas y media. Revisar la cocción.
Media hora antes, agregar las papas y los güisquiles, agregar la hierbabuena,
freír en aceite o asarla.","d) Ninguna es correcta.",NULL,"Interpretativa","Literal - Comprensión","6. Identificación de secuencias",NULL,"100001","5",NULL
"21534","Las sanguijuelas<br>
Desde el antiguo Egipto pasando por la Edad Media europea y hasta el siglo XIX
francés, las sanguijuelas han sido las fieles auxiliares de médicos y curanderos. Sus
utilidades eran diversas, se usaban tanto para curar la tuberculosis como las
fracturas, los dolores de cabeza e incluso la histeria. Realmente las sanguijuelas
sirven para usos múltiples en la medicina. <br>
Según el texto, ¿cuál es la idea principal?","3","a) Las sanguijuelas han existido desde la Edad Media europea.","b) Los médicos egipcios y los franceses utilizaron las sanguijuelas.","c) Las sanguijuelas han sido utilizadas por sus propiedades curativas.","d) Ninguna es correcta.",NULL,"Argumentativa","Inferencial -Comprensión","7. Identificación de la idea principal implícita",NULL,"100001","5",NULL
"21535","El santuario de San Felipe<br>
La historia del santuario de San Felipe se comenzó a edificar durante la época
colonial. Se construyó y bendijo en 1820. Debido a que resultó insuficiente para
albergar a los fieles, el edificio se amplió en 1870. Se determinó en 1923 que la
iglesia nuevamente resultaba pequeña, por lo que se decidió construir otra. La
nueva construcción de estilo neogótico, fue inaugurada en 1930 con una ceremonia
especial en la cual se le consagró como santuario. Con el terremoto de 1976, el
edificio resultó muy dañado, por lo que fue reconstruido. Sus puertas fueron
reabiertas en 1984.<br>
¿Cuál es el orden en el que sucedieron los acontecimientos?","1","a) El santuario se comenzó a construir en la época colonial. Se construyó y
bendijo en 1820, se amplió en 1870. En 1923, la iglesia era pequeña. Se
inauguró en 1930 con un estilo neogótico. Por el terremoto en 1976 se dañó.
En 1984 volvió a reabrir.","b) El santuario se comenzó a construir en la época colonial. Se construyó y
bendijo en 1820, se amplió en 1870. En 1923, la iglesia era pequeña. Se
inauguró en 1930 con un estilo neogótico. En 1984 volvió a reabrir. Por el
terremoto en 1976 se dañó.","c) El santuario se comenzó a construir en la época colonial. Se construyó y
bendijo en 1820, en 1923, la iglesia era pequeña. Se inauguró en 1930 con un
estilo neogótico. Por el terremoto en 1976 se dañó. En 1984 volvió a reabrir.
Se amplió en 1870.","d) Ninguna es correcta.",NULL,"Interpretativa","Literal -Comprensión","8. Identificación de secuencias",NULL,"100001","5",NULL
"21536","El santuario de San Felipe<br>
La historia del santuario de San Felipe se comenzó a edificar durante la época
colonial. Se construyó y bendijo en 1820. Debido a que resultó insuficiente para
albergar a los fieles, el edificio se amplió en 1870. Se determinó en 1923 que la
iglesia nuevamente resultaba pequeña, por lo que se decidió construir otra. La
nueva construcción de estilo neogótico, fue inaugurada en 1930 con una ceremonia
especial en la cual se le consagró como santuario. Con el terremoto de 1976, el
edificio resultó muy dañado, por lo que fue reconstruido. Sus puertas fueron
reabiertas en 1984.<br>
Según el texto, la palabra <strong>albergar</strong> significa…","1","a) hospedar.","b) abandonar.","c) desamparar.","d) Ninguna es correcta.",NULL,"Argumentativa","Inferencial - Comprensión","9. Identificación del significado de las palabras por contexto",NULL,"100001","5",NULL
"21537","De vez en cuando<br>
Humberto Ak’abal<br>
De vez en cuando
camino al revés,
es mi modo de recordar.
Si caminara solo hacia adelante,
te podría contar
cómo es el olvido.<br>
.¿Cuál de las siguientes opciones corresponde a la intención comunicativa del
texto?","1","a) Recrear con el poema De vez en cuando. ","b) Analizar la importancia del olvido. ","c) Informar por qué se debe ir hacia adelante. ","d) Ninguna es correcta.",NULL,"Propositiva","Crítico - Análisis","10. Identificación de la intención comunicativa de un texto",NULL,"100001","5",NULL
